symptoms,remedies,ingredients,instructions,recipe,dosage,effectiveness_rating,season_suitable,severity_level,demographics,contraindications
"Fever, Body Pain, Chills","Willow Bark, Turmeric, Ginger","Willow bark, turmeric powder, ginger root","Boil willow bark with turmeric and ginger","1 cup water, 1 tsp each herb","Every 4-6 hours",4.6,"Winter, Monsoon","Moderate","Adult","Blood thinners"
"Depression, Fatigue, Mental Fog","Rhodiola, St. John's Wort, Lemon Balm","Rhodiola extract, St. John's Wort, lemon balm leaves","Steep in warm water","1 cup water, 1 tsp each herb","Morning and afternoon",4.7,"All Seasons","Moderate","Adult","Antidepressants"
"Heartburn, Acid Reflux","Licorice Root, Slippery Elm, Marshmallow Root","Licorice root, slippery elm powder, marshmallow root","Boil ingredients in water","1 cup water, 1 tsp each herb","After meals",4.3,"All Seasons","Mild","All","High blood pressure"
"Menstrual Cramps, Fatigue","Red Raspberry Leaf, Cinnamon, Chamomile","Red raspberry leaf, cinnamon powder, chamomile","Steep in hot water","1 cup water, 1 tsp each herb","Twice daily during cycle",4.5,"All Seasons","Moderate","Adult, Teen","Pregnancy"
"Cold, Cough, Sore Throat","Licorice Root, Marshmallow Root, Honey","Licorice root, marshmallow root, honey","Boil licorice and marshmallow root, add honey","1 cup water, 1 tsp each herb, 1 tbsp honey","Every 3 hours",4.4,"Winter","Moderate","All","None"
"Fatigue, Mental Fog","Ginseng, Rhodiola, Ashwagandha","Ginseng root, rhodiola extract, ashwagandha powder","Steep in hot water","1 cup water, 1 tsp each herb","Morning and evening",4.6,"Winter","Moderate","Adult","Stimulants"
"Arthritis, Joint Swelling","Boswellia, Devil's Claw, Ginger","Boswellia extract, devil's claw root, ginger root","Boil in water or mix with milk","1 cup milk, 1 tsp each herb","Twice daily",4.7,"Monsoon, Winter","Severe","Adult, Senior","Blood thinners"
"Digestive Issues","Ginger, Peppermint, Chamomile","Ginger root, peppermint leaves, chamomile","Steep in hot water","1 cup water, 1 tsp each herb","After meals",4.3,"All Seasons","Mild","All","None"
"Indigestion","Fennel, Peppermint, Ginger","Fennel seeds, peppermint leaves, ginger","Steep in hot water","1 cup water, 1 tsp each herb","After meals",4.4,"All Seasons","Mild","All","None"
"Bloating","Peppermint, Fennel, Ginger","Peppermint leaves, fennel seeds, ginger","Steep in hot water","1 cup water, 1 tsp each herb","After meals",4.2,"All Seasons","Mild","All","None"
"Gas","Caraway, Peppermint, Fennel","Caraway seeds, peppermint leaves, fennel seeds","Steep in hot water","1 cup water, 1 tsp each herb","After meals",4.1,"All Seasons","Mild","All","None"
"Constipation","Psyllium, Ginger, Fennel","Psyllium husk, ginger root, fennel seeds","Steep in hot water","1 cup water, 1 tsp each herb","Before meals",4.3,"All Seasons","Moderate","All","None"
"Loss of Appetite","Ginger, Peppermint, Chamomile","Ginger root, peppermint leaves, chamomile","Steep in hot water","1 cup water, 1 tsp each herb","Before meals",4.2,"All Seasons","Mild","All","None"
"Dry Cough","Honey, Thyme, Echinacea","Honey, thyme, echinacea","Mix in warm water","1 cup water, 1 tbsp honey, 1 tsp thyme","Every 4-6 hours",4.3,"Winter","Mild","All","None"
"Common Cold","Elderberry, Echinacea, Ginger","Elderberry, echinacea, ginger root","Steep in hot water","1 cup water, 1 tsp each herb","Every 3 hours",4.5,"Winter, Monsoon","Moderate","All","None"
"Sore Throat","Licorice Root, Marshmallow Root, Honey","Licorice root, marshmallow root, honey","Boil licorice and marshmallow root, add honey","1 cup water, 1 tsp each herb, 1 tbsp honey","Every 3 hours",4.4,"Winter","Moderate","All","None"
"Nasal Congestion","Peppermint, Eucalyptus, Ginger","Peppermint leaves, eucalyptus leaves, ginger root","Steep in hot water","1 cup water, 1 tsp each herb","Every 4-6 hours",4.2,"Winter","Mild","All","None"
"Mild Anxiety","Lavender, Valerian Root, Chamomile","Lavender buds, valerian root, chamomile","Steep in hot water","1 cup water, 1 tsp each herb","Before bedtime",4.7,"All Seasons","Moderate","Adult, Teen","Sedatives"
"Stress","Ashwagandha, Lavender, Chamomile","Ashwagandha powder, lavender buds, chamomile","Steep in hot water","1 cup water, 1 tsp each herb","Before bedtime",4.8,"All Seasons","Moderate","Adult","None"
"Mood Swings","St. John's Wort, Lemon Balm, Lavender","St. John's Wort, lemon balm, lavender buds","Steep in hot water","1 cup water, 1 tsp each herb","Morning and afternoon",4.5,"All Seasons","Mild","Adult","Antidepressants"
"Mental Fatigue","Rhodiola, Ginseng, Ashwagandha","Rhodiola extract, ginseng root, ashwagandha powder","Steep in hot water","1 cup water, 1 tsp each herb","Morning and evening",4.6,"Winter","Moderate","Adult","Stimulants"
"Weak Immunity","Echinacea, Elderberry, Astragalus","Echinacea, elderberry, astragalus root","Steep in hot water","1 cup water, 1 tsp each herb","Every 4-6 hours",4.4,"All Seasons","Moderate","All","None"
"Seasonal Allergies","Butterbur, Nettle Leaf, Elderflower","Butterbur extract, nettle leaves, elderflower","Boil butterbur and elderflower in water","1 cup water, 1 tsp each herb","Twice daily",4.4,"Spring","Mild","All","Liver issues"
"Frequent Cold","Elderberry, Echinacea, Ginger","Elderberry, echinacea, ginger root","Steep in hot water","1 cup water, 1 tsp each herb","Every 3 hours",4.3,"Winter, Monsoon","Moderate","All","None"
